codigo_interno,nome,codigo_barras,preco,estoque,categoria,ativo
13528,"ABS INT OB 10UND SUPER","7891010010577",14,0,"mercearia",1
12792,"ABS INT OB 16UND MEDIO","7891010245085",19.51,0,"mercearia",1
15347,"ABS INT OB 16UND SUPER","7891010245092",17,0,"mercearia",1
10688,"ABS INT OB 8UND MINI","7891010245597",11.22,0,"mercearia",1
1161,"ABS INT TAMPAX 10UND SUPER PLUS","20800600347",15,0,"mercearia",1
5255,"ABS INTERN INTIMUS 8UN SUPER CX","7896007541874",14,0,"mercearia",1
229,"ABS INTERN INTIMUS MINI CX","7896007541850",12.9,0,"mercearia",1
5052,"ABS INTIMU 8UN NOT C SECA C/AB","7896007542437",8.95,0,"mercearia",1
2169,"ABS INTIMU 8UN NOT C SUAVE C/AB","7896007540662",8.53,0,"mercearia",1
4619,"ABS INTIMU SEC C/AB 8UND TRIPL PROT","7896007540631",4.5,0,"mercearia",1
17979,"ABS INTIMU SUAV C/AB 16UND","7896007545094",9.22,0,"mercearia",1
17978,"ABS INTIMU SUAV C/AB 8UND DAYS ANTIBACTER","7896007552122",7.22,0,"mercearia",1
3242,"ABS INTIMU SUAV C/AB 8UND TRIPL PROT","7896007540617",4.5,0,"mercearia",1
4545,"ABS INTIMUS CB SUAV C/AB L9P8 TRIPL PROT","7896007547654",4,0,"mercearia",1
1915,"ABS INTIMUS COB SEC C/ABA LV9PG8","7896007547647",3.9,0,"mercearia",1
3243,"ABS INTIMUS COB SECA S/AB 8UND TRIPL PROT","7896007540624",4.22,0,"mercearia",1
862,"ABS INTIMUS EXT SUAV S/ABA","7896007540600",4.5,0,"mercearia",1
938,"ABS INTIMUS NOT C/AB P8L9","7896007547685",7.5,0,"mercearia",1
7694,"ABS INTIMUS S/AB 4PC E S","7896007541232",17.11,0,"mercearia",1
17980,"ABS ISACARE NOT 8UN SUAVE","7896064450041",5.22,0,"mercearia",1
14360,"ABS LADY C/AB C BABY 32UN LADY","7896227690697",18.5,0,"mercearia",1
17953,"ABS LADY C/AB C BABY 32UN LADY NOTURNO","7896227690703",26,0,"mercearia",1
7902,"ABS LADYSOFT 8UND MAX PROTECAO C/ABA SUAVE","7896061980015",4.22,0,"mercearia",1
1040,"ABS LADYSOFT 8UND MAX PROTECAO S/ABA","7896061980039",4.22,0,"mercearia",1
7901,"ABS LADYSOFT 8UND NOTURNO 16UN C/ABS","7896061980183",5.37,0,"mercearia",1
6173,"ABS LADYSOFT 8UND NOTURNO C/ABAS","7896061980176",5.22,0,"mercearia",1
12779,"ABS LADYSOFT 8UND NOTURNO C/ABAS SUAVE","7896061980060",6.95,0,"mercearia",1
9860,"ABS MILI 16/14UND NORTUNO","7896104993880",11.95,0,"mercearia",1
11513,"ABS MILI 16UN NORT SUAVE","7896104993897",6.22,0,"mercearia",1
16586,"ABS MILI 16UN TRAD","7896104993903",8.9,0,"mercearia",1
11514,"ABS MILI 8UN C/ABA SUAVE","7896104993941",4.22,0,"mercearia",1
6021,"ABS NATURALM 8U S/AB NOTURNO 8UN","7896064442206",4.95,0,"mercearia",1
4776,"ABS NATURALM 8UN C/AB L8/P7","7896064442565",3.95,0,"mercearia",1
988,"ABS NATURALM GEL 8UN S/ABA","7896064447003",3.5,0,"mercearia",1
14392,"ABS NATURALM NOT 08UN C/AB","7896064442213",5.99,0,"mercearia",1
5053,"ABS NATURALM NOT 10UN C/AB","7896064471015",6.5,0,"mercearia",1
18457,"ABS NATURALM NOT 16UN C/AB","7896064443029",8.5,0,"mercearia",1
1041,"ABS NATURALM S/AB L8/P7 S/ABA","7896064443982",3,0,"mercearia",1
6078,"ABS P SEIOS COTTONBABY 12UND T SUAVE","7896227650714",9.9,0,"mercearia",1
5515,"ABS S LIVRE 8UN C/AB ADAPT","7891010503024",4.22,0,"mercearia",1
15723,"ABS S LIVRE 8UN NOT C/AB SECA","7891010694593",10.69,0,"mercearia",1
9861,"ABS S LIVRE 8UNNORTUNO C/AB SUAVE","7891010035631",9.99,0,"mercearia",1
1044,"ABS S LIVRE L8/P7 C/ABA UND","7891010973483",3.99,0,"mercearia",1
4276,"ABS S LIVRE S/ABA 8UND","7891010503031",4.22,0,"mercearia",1
3085,"ABS SILHOUET 8U C/AB NORTUNO UNICA SUPER GEL","7891088191352",4,0,"mercearia",1
2247,"ABS SILHOUET 8U S/ABA UNICA SUPER GEL","7898224890858",2.75,0,"mercearia",1
3084,"ABS SILHOUET 8UND C/ABA UNICA","7891088191314",2.76,0,"mercearia",1
19223,"ABS SYM 08UN C/AB SUAV PH CONTROL BLOCK","7896110002248",4.22,0,"mercearia",1
9061,"ABS SYM 08UND S/ABA BLOCK","7896110002255",4.22,0,"mercearia",1
914,"ABS SYM 16UND C/ABA","7896110008363",5.25,0,"mercearia",1
12115,"ABS SYM L16/P14UN C/AB BLOCK","7896110008042",9.22,0,"mercearia",1
4517,"ABS SYM L8P7 C/ABA COB SECA SANTHER","7896110007908",2.75,0,"mercearia",1
2047,"ABS SYM L8P7UND C/ABA SUAVE SANTHER","7896110007700",3.75,0,"mercearia",1
16644,"ACAFRAO B JESUS 30G SACHE","1164794",1.5,0,"mercearia",1
9405,"ACAFRAO DIROCHA 20G SACHE","618231877348",1.22,0,"mercearia",1
9649,"ACAFRAO DIROCHA 80G POTE","618231877322",3,0,"mercearia",1
10019,"ACAFRAO DIROCHA 80G POTE","618231877522",3.22,0,"mercearia",1
5926,"ACAFRAO GILDA 40G SC CHOPP","7897070221991",1.5,0,"mercearia",1
15795,"ACAFRAO GILDA 50G MOIDO POTE","7897070221533",3.5,0,"mercearia",1
6870,"ACAFRAO JL 70G POTE","9790201379747",3,0,"mercearia",1
6886,"ACAFRAO JL 70G POTE NOVO","9780201379747",3,0,"mercearia",1
4526,"ACAFRAO JULIANA 30G SACHE","1044621",2.22,0,"mercearia",1
13416,"ACAFRAO JULIANA 30G SACHE","619205349854",1.5,0,"mercearia",1
2391,"ACAFRAO TEMPERA 20G SACHE","736532328625",2.22,0,"mercearia",1
2268,"ACAFRAO TEMPERA 80G POTE","736532328632",2.73,0,"mercearia",1
6368,"ACENDED CARVAO ARCO IRIS","7896097215037",6.22,0,"mercearia",1
12755,"ACENDED FOG BIC MAXI UND HANDY","7501843501707",14.22,0,"mercearia",1
7683,"ACENDED FOG PARANA 5FOSF","7896080900889",5.99,0,"mercearia",1
14013,"ACENDED FOGAO F LUX 4PAST ORIGINAL","7896007932030",9.8,0,"mercearia",1
4779,"ACENDED FOGAO ORIGINAL","7899653781212",9.22,0,"mercearia",1
1965,"ACETONA FARMAX 100ML AZUL","7896902209114",4.5,0,"mercearia",1
7926,"ACETONA FARMAX 500ML AZUL","7896902209138",17,0,"mercearia",1
870,"ACETONA FARMAX 80ML AZUL REMOVEDORA","7896902200494",4,0,"mercearia",1
19842,"ACETONA MARCIA 100ML","7896221806988",3.98,0,"mercearia",1
14290,"ACETONA MARCIA 80ML","7896221806964",3.22,0,"mercearia",1
10128,"ACETONA ZULU 90ML SEDUCION","7896090700455",3.22,0,"mercearia",1
10127,"ACETONA ZULU 90MLFASHION","7896090700301",3.5,0,"mercearia",1
12606,"ACHOC LIQ CHOCOBOM 200ML LEITBOM","7898215155126",2,0,"mercearia",1
8696,"ACHOC LIQ CHOCOTYNHO 150ML MARAJOARA","7896354100939",1.5,0,"mercearia",1
8346,"ACHOC LIQ CHOKYNHO 200ML MARAJOARA","7896354100823",1.5,0,"mercearia",1
1951,"ACHOC LIQ DANATTE 200ML CHOC DANONE","7891025021117",2.25,0,"mercearia",1
1721,"ACHOC LIQ DANONINHO 200ML CHOC","7891025119807",2.14,0,"mercearia",1
6810,"ACHOC LIQ ITALAC  200ML VITAMINA","7898080640826",2,0,"mercearia",1
3846,"ACHOC LIQ ITALAKINHO 200ML TRAD","7898080640239",2,0,"mercearia",1
5460,"ACHOC LIQ MARATINHO 200ML","7898378180331",2,0,"mercearia",1
5288,"ACHOC LIQ MOCOQUINHA 200ML","7891030003016",2,0,"mercearia",1
9644,"ACHOC LIQ NESCAU 180ML NESTLE PRONT","7891000359822",2.75,0,"mercearia",1
18870,"ACHOC LIQ NESCAU 1L NESTLE PRONT","7891000081501",11.55,0,"mercearia",1
311,"ACHOC LIQ NESCAU 200ML NESTLE","7891000379103",2.75,0,"mercearia",1
8340,"ACHOC LIQ NESCAU 200MLX9 NESTLE","7891000117675",18.72,0,"mercearia",1
14513,"ACHOC LIQ NESCAU L180MLP160ML NESTLE","7891000388853",2.5,0,"mercearia",1
14226,"ACHOC LIQ NESQUIK 180ML MOR NESTLE","7891000366141",3,0,"mercearia",1
4134,"ACHOC LIQ NESQUIK 200ML MORANG NESTLR","7891000389201",3,0,"mercearia",1
1720,"ACHOC LIQ PIRAKIDS 200ML CHOC","7898215151807",2.22,0,"mercearia",1
19574,"ACHOC LIQ PIRAKIDS 200ML MILKYMOO","7898215159117",2.75,0,"mercearia",1
310,"ACHOC LIQ QUALIKINHO 200ML CCGL","7898929966704",1.68,0,"mercearia",1
2950,"ACHOC LIQ TODYNHO 200ML CHOCOLATE","7894321722016",3.5,0,"mercearia",1
8341,"ACHOC LIQ TODYNHO 200ML CHOCOLATE LEVINHO","7894321242521",3.5,0,"mercearia",1
4594,"ACHOC LIQ TRIANGULO 1L TRAD","7896434920747",5.59,0,"mercearia",1
4277,"ACHOC LIQ TRIANGULO 200ML TRAD","7896434920716",1.5,0,"mercearia",1
11308,"ACHOC PO 3COR 370ML LT GDE","7896045110582",11.95,0,"mercearia",1
18989,"ACHOC PO CHOCOLATTO 350G LATA 3CORACOES","7896045115365",11.7,0,"mercearia",1
19989,"ACHOC PO ITALAC 400G POTE","7898080640833",10.9,0,"mercearia",1
18492,"ACHOC PO MARATA 200G SACHE","7898617582247",5.22,0,"mercearia",1
13888,"ACHOC PO NESCAU 200G LT PEQ","7891000379585",9.5,0,"mercearia",1
12030,"ACHOC PO NESCAU 370/PG350ML GDE NESTLE LT","7891000383551",9.99,0,"mercearia",1
12843,"ACHOC PO NESCAU 370G LATA NESTLE","7891000379691",14.9,0,"mercearia",1
8522,"ACHOC PO NESCAU 370ML GDE NESTLE LT","7891000352175",9.99,0,"mercearia",1
3401,"ACHOC PO NESCAU 400ML GDE NESTLE LT","7891000053508",7.9,0,"mercearia",1
19405,"ACHOC PO NESUIK 200G LT PQ MORANGO","7891000347942",14.06,0,"mercearia",1
10671,"ACHOC PO TODDY 370G TRAD POTE","7892840819507",12.99,0,"mercearia",1
663,"ACIDO MURIAT BRAMIX 1L LIMPADOR","7896923700034",9.22,0,"mercearia",1
8633,"ACIDO MURIAT TIRODOR 1L LIMPADOR","7898171952517",5.95,0,"mercearia",1
17605,"ACUCAR BOM FILHO KG CRISTAL","4146",4.22,0,"mercearia",1
11647,"ACUCAR CARLITO KG CRISTAL","7898517880160",3.38,0,"mercearia",1
1886,"ACUCAR CAUAXI KG CRISTAL","7898935659010",3.99,0,"mercearia",1
9203,"ACUCAR CAUAXI KG DEMERARA","7898935659003",6.22,0,"mercearia",1
7323,"ACUCAR CAUAXI KG TRITURADO","7898935659034",4.22,0,"mercearia",1
17801,"ACUCAR CONDE KG TRITURADO EXTRA FINO","7898964423088",4.28,0,"mercearia",1
15824,"ACUCAR CONDESA KG CRISTAL","7898964423187",3.49,0,"mercearia",1
17201,"ACUCAR DEMERAR 500G DEMERARA","7898964423309",2.49,0,"mercearia",1
7035,"ACUCAR DEMERAR KG ITAMARATI","7896433800453",5.5,0,"mercearia",1
8966,"ACUCAR DEMERARA BREJ 500G","7898903601942",3.5,0,"mercearia",1
8968,"ACUCAR DEMERARA KG ITAJA ORGANICA","7898051681001",6.5,0,"mercearia",1
3589,"ACUCAR DEMERARA KG UNIAO","7891910030101",7.22,0,"mercearia",1
3033,"ACUCAR DU KG PRINCESA CRISTAL","7897962901109",4.22,0,"mercearia",1
5955,"ACUCAR DUMANU KG CRISTAL","7898911895234",4.5,0,"mercearia",1
6757,"ACUCAR FIT UNIAO500G REFINADO","7891910020096",2,0,"mercearia",1
225,"ACUCAR ITAJA KG CRISTAL","7898051680011",4.8,0,"mercearia",1
15326,"ACUCAR ITAJA KG CRISTAL  ORGANICA","7898051687775",5.22,0,"mercearia",1
226,"ACUCAR ITAMARATI KG CRISTAL","7896433800378",3.49,0,"mercearia",1
6500,"ACUCAR ITAMARATI KG REFINADO","7896433800354",5.95,0,"mercearia",1
7269,"ACUCAR ITAMARATI KG TRITURADO","7896433800330",3.99,0,"mercearia",1
1917,"ACUCAR LIDER KG TRITURADO","7898911895036",2.75,0,"mercearia",1
4475,"ACUCAR MALAN KG CRISTAL","7897962900942",4.75,0,"mercearia",1
15998,"ACUCAR MASC DACOLON 500G","7896181700234",5.75,0,"mercearia",1
12783,"ACUCAR MASCAV MARIZA 500G NATU QUALY","7896369616432",7.22,0,"mercearia",1
2073,"ACUCAR MASCAVO KG BREJEIRA","7898903601218",6.1,0,"mercearia",1
1306,"ACUCAR MIRASUL KG CRISTAL","7898407470013",2.69,0,"mercearia",1
12824,"ACUCAR PRINCESA 500G CRISTAL","7897962901475",2.22,0,"mercearia",1
